1,0.429,1,0.429,0.596,0.542,0.429,0.429,0.54,0.556,0.557,1,0.528,0.574,1,0.53,1,1,0.553,1,1
0.868,0.857,0.862,0.449,0.819,0.471,0.872,0.626,0.902,0.61,0.449,0.844,0.792,0.541,0.827,0.449,0.844,0.598,0.814,0.919,0.878
0.744,0.482,0.482,0.482,0.482,0.75,0.756,0.482,0.833,0.482,0.482,0.482,0.68,0.482,0.714,0.482,0.482,0.482,0.756,0.482,0.786
0.429,0.429,0.429,0.429,0.588,0.429,0.455,0.55,0.429,0.579,0.412,0.441,0.429,0.458,0.667,0.429,0.429,0.429,0.5,0.429,0.429
1,1,0.477,0.477,1,1,0.477,1,0.477,1,1,0.477,0.955,0.955,1,1,1,1,0.477,0.477,1
0.566,0.564,1,0.591,0.582,1,0.539,0.532,0.522,1,1,0.515,1,1,1,1,1,0.523,1,0.573,1
0.58,1,0.534,0.512,0.582,1,0.8,0.561,1,0.555,0.541,0.5,1,1,1,1,0.559,1,1,1,0.555
0.442,1,1,1,1,1,1,1,1,0.984,0.442,1,1,1,1,1,1,1,1,1,1
1,1,1,0.566,0.566,1,1,0.523,0.52,1,0.573,1,0.529,1,1,0.6,0.875,1,0.567,1,1
0.75,0.5,1,1,1,0.75,0.6,0.528,0.506,0.592,0.547,1,0.544,0.6,1,0.503,0.585,0.75,0.556,0.75,1
1,0.56,1,1,0.553,0.594,0.667,0.571,0.543,0.512,0.593,1,0.507,0.529,1,0.557,0.667,1,0.667,0.597,1
0.801,0.644,0.643,0.596,0.511,0.574,0.644,0.655,0.509,0.481,0.724,0.713,0.67,0.637,0.598,0.63,0.712,0.655,0.537,0.636,0.553
0.7,0.514,0.574,0.559,0.577,0.592,0.618,0.523,0.465,0.473,0.595,0.559,0.403,0.567,0.571,0.523,0.558,0.505,0.526,0.469,0.649
1,1,1,1,1,1,0.57,1,0.587,0.584,0.567,1,1,1,0.556,0.501,1,1,0.508,1,1
0.495,0.495,0.495,0.496,0.495,0.495,0.495,0.495,0.508,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.494,0.495,0.494,0.816,0.494
1,1,1,1,1,0.552,0.532,0.667,0.503,0.516,0.507,1,0.563,0.5,1,0.667,1,1,0.512,1,1
1,1,1,0.51,1,0.521,0.6,0.574,0.538,0.566,0.429,1,1,0.75,1,0.567,1,1,0.429,0.584,0.667
0.592,0.559,1,1,0.667,1,0.667,0.667,0.4,0.529,0.4,1,0.51,0.522,1,0.563,0.522,1,0.667,1,1
1,0.501,1,0.971,1,1,0.971,0.567,0.579,0.582,0.75,1,0.522,0.971,1,0.786,1,1,0.97,1,1
1,0.508,0.5,0.508,0.667,0.667,0.536,0.562,0.562,0.519,0.571,1,0.667,1,0.667,0.559,0.667,1,0.4,0.54,0.667
1,0.5,0.525,1,0.667,1,0.528,0.583,0.574,0.4,0.667,0.591,1,0.553,1,0.528,0.588,0.585,0.667,1,0.5
1,0.597,1,1,1,1,0.569,1,0.55,0.857,0.571,1,1,0.569,1,0.517,0.57,1,1,0.532,1
1,1,0.51,1,1,0.5,0.595,0.523,0.517,0.545,0.5,1,1,1,1,0.579,0.552,1,0.5,1,1
0.556,1,0.521,1,1,1,1,0.52,0.512,0.576,0.596,0.554,1,1,1,0.558,1,0.54,0.556,1,1
1,0.5,1,0.667,0.667,0.667,0.526,0.5,0.575,0.548,0.573,0.512,0.667,0.4,0.5,0.502,0.667,0.4,0.546,0.554,0.6
0.535,0.502,0.5,0.5,1,1,0.553,0.667,0.536,0.587,0.515,1,1,0.5,1,1,1,0.56,0.5,1,1
1,0.5,0.667,0.667,0.503,0.569,0.505,1,0.579,0.593,0.529,1,0.528,0.667,0.667,0.594,0.512,1,0.542,0.575,1
0.938,0.677,0.652,0.865,0.565,0.677,0.595,0.745,0.582,0.553,0.535,0.546,0.745,0.652,0.709,0.709,0.938,0.938,0.574,0.552,0.677
0.544,0.528,0.8,0.727,0.889,0.8,0.56,0.778,0.625,0.594,0.599,0.857,0.75,0.8,0.8,0.857,0.778,0.75,0.615,0.8,0.727
0.833,0.589,0.833,0.714,0.833,0.625,0.518,0.833,0.521,0.714,0.529,0.833,0.833,0.514,0.517,0.558,0.51,0.833,0.503,0.714,0.515
0.956,0.955,0.5,0.953,0.961,0.955,0.968,0.966,0.958,0.961,0.965,0.951,0.929,0.925,0.946,0.936,0.963,0.5,0.951,0.5,0.96
0.5,0.5,1,0.536,0.5,0.75,0.5,0.6,0.53,0.599,1,0.516,0.75,0.75,0.557,0.667,1,0.75,0.429,0.5,0.511
0.576,0.824,0.941,0.895,0.526,0.522,0.574,0.599,0.509,0.947,0.68,0.944,0.531,0.889,0.864,0.554,0.522,0.9,0.582,0.895,0.944
1,0.522,0.524,0.585,0.957,0.957,0.562,0.519,0.554,0.552,0.574,0.955,0.593,0.551,0.957,0.585,1,0.913,0.526,0.593,0.521
0.561,1,1,1,1,0.541,0.818,1,0.55,0.561,0.506,1,1,1,1,0.9,0.531,1,0.5,1,1
0.578,0.714,0.714,0.581,0.714,0.512,0.57,0.58,0.514,0.833,0.589,1,0.833,0.542,0.558,0.569,0.833,0.598,0.714,0.555,0.714
0.865,0.826,0.839,0.805,0.847,0.79,0.823,0.848,0.874,0.831,0.858,0.856,0.764,0.74,0.738,0.866,0.827,0.801,0.657,0.79,0.851
0.565,0.513,1,1,1,0.518,1,1,0.587,0.536,0.957,1,1,1,1,0.958,1,0.52,0.957,0.955,1
1,0.561,1,0.625,0.524,1,0.538,0.556,1,0.551,1,0.545,0.544,1,0.57,1,0.57,1,0.547,0.535,0.592
0.909,0.444,0.909,0.444,0.444,0.769,0.625,0.909,0.786,0.444,0.444,0.917,0.444,0.444,0.769,0.444,0.909,0.444,0.647,0.444,0.444
1,0.556,1,1,0.571,0.542,1,1,0.559,1,0.573,0.515,0.559,0.534,0.597,0.585,0.587,0.513,1,0.576,1
